Component Name;Application;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Min Density;Max Density;Functional Unit;Type of Assembly;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
ISOPROC | Flakes | Cellulose | For between timber frame | Blown on site;External wall | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD227-1;0.038;3.5;;50;50;sqm;Loose laid;Cellulose;Organic insulation materials;0.0;1.0;0.0;0.0;Not available
ISOPROC | Flakes | Cellulose | For between timber frame | Blown on site;Floor | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD255-1;0.038;7;;30;30;sqm;Loose laid;Cellulose;Organic insulation materials;0.0;1.0;0.0;0.0;Not available
ISOLA | Granules | Recycled PUR;Floor finish | Acoustic insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10007-1;0.0446;1.1211;;235;235;sqm;Loose laid but covered by/integrated in concrete;PUR;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
IsoHemp | Blocks | Hempcrete | Glued;Internal wall - non-loadbearing | Primary part;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD269-1;0.071;5.0704;;340;340;sqm;Masonry with adhesive mortar (Rjoint ≥ Rmat);Hempcrete;Non-combustible remaining waste;1.0;0.0;0.0;0.0;Not available
ARGEX | Loose filling | Expanded clay | 340 kg/m³;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD279-1;0.114;1;;340;340;sqm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
ARGEX | Loose filling | Expanded clay | 340 kg/m³;Roof finish | Thermal insulation - horizontal surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD279-2;0.114;1;;340;340;sqm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Ceiling finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD194-1;0.036;1.3889;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Wall - internal finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD194-2;0.036;1.3889;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD194-3;0.036;1.3889;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Roof finish | Thermal insulation - inclined surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD194-4;0.036;1.3889;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
